1	0	69	46	1
1	13	72	45	1
1	26	71	119	1
1	38	71	48	1
1	51	102	210	1
1	64	109	260	1
1	76	106	180	1
1	90	107	173	1
1	103	133	174	1
1	116	194	173	1
1	128	197	177	1
1	141	157	115	1
1	154	146	102	1
1	166	46	71	1
1	180	45	75	1
2	0	70	45	1
2	13	73	45	1
2	26	72	119	1
2	38	71	47	1
2	51	101	273	1
2	64	106	259	1
2	76	106	246	1
2	90	108	175	1
2	103	132	172	1
2	116	194	174	1
2	128	196	248	1
2	141	0	108	1
2	154	47	102	1
2	166	46	71	1
2	180	45	75	1
3	0	70	46	1
3	13	73	45	1
3	26	71	120	1
3	38	70	47	1
3	51	100	210	1
3	64	106	260	1
3	76	106	246	1
3	90	107	173	1
3	103	133	172	1
3	116	194	174	1
3	128	195	132	1
3	141	230	107	1
3	154	147	102	1
3	166	46	72	1
3	180	45	70	1
4	0	70	46	1
4	13	72	45	1
4	26	72	119	1
4	38	69	47	1
4	51	100	275	1
4	64	107	260	1
4	76	105	172	1
4	90	108	171	1
4	103	131	172	1
4	116	194	173	1
4	128	195	177	1
4	141	156	108	1
4	154	146	103	1
4	166	46	71	1
4	180	45	75	1
5	0	69	46	1
5	13	73	45	1
5	26	71	119	1
5	38	70	48	1
5	51	101	275	1
5	64	107	261	1
5	76	107	179	1
5	90	130	171	1
5	103	131	174	1
5	116	193	174	1
5	128	195	176	1
5	141	0	109	1
5	154	47	102	1
5	166	46	71	1
5	180	45	70	1
6	0	69	46	1
6	13	73	45	1
6	26	71	119	1
6	38	69	47	1
6	51	101	211	1
6	64	107	260	1
6	76	106	177	1
6	90	106	171	1
6	103	131	171	1
6	116	194	174	1
6	128	195	175	1
6	141	155	108	1
6	154	146	103	1
6	166	46	71	1
6	180	45	75	1
7	0	70	46	1
7	13	73	45	1
7	26	72	119	1
7	38	70	47	1
7	51	101	210	1
7	64	107	262	1
7	76	107	178	1
7	90	131	172	1
7	103	131	171	1
7	116	194	176	1
7	128	195	175	1
7	141	0	109	1
7	154	47	102	1
7	166	46	72	1
7	180	45	75	1
8	0	69	46	1
8	13	72	45	1
8	26	71	119	1
8	38	71	47	1
8	51	100	211	1
8	64	107	248	1
8	76	107	180	1
8	90	109	170	1
8	103	133	172	1
8	116	195	176	1
8	128	195	178	1
8	141	158	114	1
8	154	146	102	1
8	166	46	71	1
8	180	45	71	1
11	0	61	45	2
11	13	61	45	2
11	26	61	46	2
11	38	61	61	2
11	51	64	61	2
11	64	103	63	2
11	76	102	276	2
11	90	104	201	2
11	103	126	97	2
11	116	146	88	2
11	128	142	90	2
11	141	140	82	2
11	154	139	82	2
11	166	45	64	2
11	180	45	61	2
12	0	61	45	2
12	13	60	45	2
12	26	61	46	2
12	38	62	62	2
12	51	64	61	2
12	64	102	62	2
12	76	101	203	2
12	90	103	201	2
12	103	105	93	2
12	116	145	86	2
12	128	166	87	2
12	141	140	82	2
12	154	139	82	2
12	166	46	64	2
12	180	45	61	2
13	0	61	45	2
13	13	61	45	2
13	26	61	46	2
13	38	61	61	2
13	51	64	62	2
13	64	102	62	2
13	76	103	274	2
13	90	104	202	2
13	103	129	201	2
13	116	165	130	2
13	128	166	88	2
13	141	142	81	2
13	154	140	82	2
13	166	45	63	2
13	180	45	61	2
14	0	61	45	2
14	13	60	46	2
14	26	61	46	2
14	38	62	62	2
14	51	64	62	2
14	64	102	62	2
14	76	102	273	2
14	90	104	200	2
14	103	106	200	2
14	116	165	86	2
14	128	165	88	2
14	141	140	81	2
14	154	139	82	2
14	166	47	64	2
14	180	45	61	2
15	0	61	45	2
15	13	60	45	2
15	26	61	46	2
15	38	61	61	2
15	51	64	61	2
15	64	102	63	2
15	76	103	274	2
15	90	105	204	2
15	103	105	96	2
15	116	165	85	2
15	128	165	88	2
15	141	140	82	2
15	154	140	82	2
15	166	45	63	2
15	180	45	61	2
16	0	61	45	2
16	13	60	45	2
16	26	61	46	2
16	38	61	61	2
16	51	64	62	2
16	64	102	63	2
16	76	105	273	2
16	90	104	200	2
16	103	125	201	2
16	116	164	91	2
16	128	143	88	2
16	141	140	81	2
16	154	139	82	2
16	166	45	64	2
16	180	45	61	2
18	0	61	45	2
18	13	61	45	2
18	26	61	46	2
18	38	62	62	2
18	51	64	62	2
18	64	103	62	2
18	76	104	202	2
18	90	104	200	2
18	103	126	201	2
18	116	144	94	2
18	128	165	87	2
18	141	140	82	2
18	154	139	82	2
18	166	45	64	2
18	180	45	61	2
20	0	56	194	3
20	13	55	88	3
20	26	55	90	3
20	38	57	173	3
20	51	87	86	3
20	64	78	86	3
20	76	77	86	3
20	90	87	89	3
20	103	91	90	3
20	116	112	93	3
20	128	116	93	3
20	141	135	94	3
20	154	198	91	3
20	166	195	58	3
20	180	195	56	3
21	0	56	195	3
21	13	56	175	3
21	26	56	174	3
21	38	57	87	3
21	51	87	88	3
21	64	77	86	3
21	76	78	86	3
21	90	88	88	3
21	103	102	90	3
21	116	111	91	3
21	128	113	92	3
21	141	135	89	3
21	154	200	90	3
21	166	196	58	3
21	180	194	56	3
22	0	56	194	3
22	13	56	176	3
22	26	55	87	3
22	38	57	89	3
22	51	86	88	3
22	64	78	87	3
22	76	77	86	3
22	90	87	88	3
22	103	102	91	3
22	116	111	90	3
22	128	114	92	3
22	141	135	93	3
22	154	201	87	3
22	166	195	59	3
22	180	194	56	3
23	0	56	194	3
23	13	55	90	3
23	26	56	89	3
23	38	57	89	3
23	51	87	88	3
23	64	78	86	3
23	76	79	87	3
23	90	88	87	3
23	103	101	91	3
23	116	107	90	3
23	128	111	91	3
23	141	135	89	3
23	154	203	86	3
23	166	195	59	3
23	180	194	55	3
24	0	56	194	3
24	13	55	88	3
24	26	55	172	3
24	38	57	87	3
24	51	86	86	3
24	64	78	87	3
24	76	79	86	3
24	90	88	87	3
24	103	104	88	3
24	116	101	90	3
24	128	113	92	3
24	141	138	94	3
24	154	200	90	3
24	166	194	58	3
24	180	194	56	3
25	0	57	194	3
25	13	55	93	3
25	26	56	88	3
25	38	57	88	3
25	51	86	89	3
25	64	79	86	3
25	76	79	86	3
25	90	87	88	3
25	103	105	89	3
25	116	106	90	3
25	128	112	93	3
25	141	136	94	3
25	154	200	88	3
25	166	195	58	3
25	180	195	57	3
26	0	56	195	3
26	13	56	88	3
26	26	56	88	3
26	38	57	90	3
26	51	86	86	3
26	64	77	86	3
26	76	78	86	3
26	90	87	86	3
26	103	104	90	3
26	116	108	90	3
26	128	112	93	3
26	141	134	93	3
26	154	196	98	3
26	166	196	58	3
26	180	195	56	3
27	0	57	194	3
27	13	56	88	3
27	26	56	89	3
27	38	57	88	3
27	51	59	87	3
27	64	78	86	3
27	76	77	86	3
27	90	87	89	3
27	103	104	89	3
27	116	100	90	3
27	128	114	94	3
27	141	137	94	3
27	154	200	98	3
27	166	196	59	3
27	180	195	56	3
29	0	51	195	4
29	13	51	93	4
29	26	51	94	4
29	38	52	89	4
29	51	53	87	4
29	64	60	95	4
29	76	61	112	4
29	90	83	114	4
29	103	82	114	4
29	116	83	122	4
29	128	84	116	4
29	141	105	88	4
29	154	302	117	4
29	166	195	53	4
29	180	194	52	4
30	0	51	196	4
30	13	51	94	4
30	26	51	92	4
30	38	53	91	4
30	51	54	91	4
30	64	60	97	4
30	76	62	111	4
30	90	84	113	4
30	103	83	114	4
30	116	84	121	4
30	128	85	115	4
30	141	104	86	4
30	154	109	86	4
