2	17	51	0	35	43
2	17	51	13	35	43
2	17	51	26	35	43
2	17	51	38	90	46
2	17	51	51	90	112
2	17	51	64	89	115
2	17	51	76	92	139
2	17	51	90	124	138
2	17	51	103	161	137
2	17	51	116	163	120
2	17	51	128	198	117
2	17	51	141	49	115
2	17	51	154	49	115
2	17	51	166	43	37
2	17	51	180	43	35
3	17	51	0	35	43
3	17	51	13	35	43
3	17	51	26	35	43
3	17	51	38	90	46
3	17	51	51	89	112
3	17	51	64	89	113
3	17	51	76	90	115
3	17	51	90	127	138
3	17	51	103	161	138
3	17	51	116	163	118
3	17	51	128	201	116
3	17	51	141	48	117
3	17	51	154	50	117
3	17	51	166	44	37
3	17	51	180	43	36
4	17	51	0	35	43
4	17	51	13	35	42
4	17	51	26	36	44
4	17	51	38	89	46
4	17	51	51	89	111
4	17	51	64	90	112
4	17	51	76	91	116
4	17	51	90	125	138
4	17	51	103	161	139
4	17	51	116	162	118
4	17	51	128	201	115
4	17	51	141	49	115
4	17	51	154	50	89
4	17	51	166	44	37
4	17	51	180	43	36
5	17	51	0	35	43
5	17	51	13	35	43
5	17	51	26	35	43
5	17	51	38	89	45
5	17	51	51	91	111
5	17	51	64	91	113
5	17	51	76	96	115
5	17	51	90	127	138
5	17	51	103	161	138
5	17	51	116	163	117
5	17	51	128	197	115
5	17	51	141	49	115
5	17	51	154	50	117
5	17	51	166	44	37
5	17	51	180	43	36
6	17	51	0	35	43
6	17	51	13	35	42
6	17	51	26	35	43
6	17	51	38	89	47
6	17	51	51	90	111
6	17	51	64	89	113
6	17	51	76	93	139
6	17	51	90	125	141
6	17	51	103	161	138
6	17	51	116	164	117
6	17	51	128	192	117
6	17	51	141	49	114
6	17	51	154	49	115
6	17	51	166	44	36
6	17	51	180	43	36
7	17	51	0	35	43
7	17	51	13	35	43
7	17	51	26	35	43
7	17	51	38	89	46
7	17	51	51	90	111
7	17	51	64	91	113
7	17	51	76	91	139
7	17	51	90	125	138
7	17	51	103	127	139
7	17	51	116	163	119
7	17	51	128	198	116
7	17	51	141	49	116
7	17	51	154	50	88
7	17	51	166	44	36
7	17	51	180	43	35
8	17	51	0	36	43
8	17	51	13	35	42
8	17	51	26	36	43
8	17	51	38	90	46
8	17	51	51	90	112
8	17	51	64	90	112
8	17	51	76	94	140
8	17	51	90	124	138
8	17	51	103	163	138
8	17	51	116	163	117
8	17	51	128	198	115
8	17	51	141	49	117
8	17	51	154	50	116
8	17	51	166	44	36
8	17	51	180	43	36
9	17	51	0	36	43
9	17	51	13	35	43
9	17	51	26	36	43
9	17	51	38	89	45
9	17	51	51	90	111
9	17	51	64	89	113
9	17	51	76	93	138
9	17	51	90	125	139
9	17	51	103	161	138
9	17	51	116	163	117
9	17	51	128	202	116
9	17	51	141	183	116
9	17	51	154	50	115
9	17	51	166	44	37
9	17	51	180	43	36
10	17	51	0	36	43
10	17	51	13	35	43
10	17	51	26	35	43
10	17	51	38	89	46
10	17	51	51	91	113
10	17	51	64	89	112
10	17	51	76	90	116
10	17	51	90	124	138
10	17	51	103	161	137
10	17	51	116	162	138
10	17	51	128	200	115
10	17	51	141	48	114
10	17	51	154	49	117
10	17	51	166	44	37
10	17	51	180	43	36
11	17	51	0	36	43
11	17	51	13	35	42
11	17	51	26	35	43
11	17	51	38	89	46
11	17	51	51	89	111
11	17	51	64	90	114
11	17	51	76	97	140
11	17	51	90	124	138
11	17	51	103	161	139
11	17	51	116	164	117
11	17	51	128	198	117
11	17	51	141	49	115
11	17	51	154	50	91
11	17	51	166	44	36
11	17	51	180	43	36
12	17	51	0	35	43
